controller_call_index,executed_step_index,mode_before,mode_after,moved,x_m,y_m,event_type,episode_index,entry_multiplier_initial,entry_threshold_current,exit_threshold_current,base_hazard_reference,trigger_measurement,radiation_quantity,radiation_unit,transition_reason,normal_route_interrupted,normal_route_replanned,mission_complete,completion_reason
43,43,RADIATION,RADIATION,True,522540.9204974669,5697064.290406496,,1,0.01,0.1,0.09000000000000001,10.0,12.768544326454107,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
44,44,RADIATION,RADIATION,True,522560.9204974669,5697064.290406496,,1,0.01,0.1,0.09000000000000001,10.0,20.14770385540988,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
45,45,RADIATION,RADIATION,True,522540.9204974669,5697084.290406496,,1,0.01,0.1,0.09000000000000001,10.0,6.828774669891772,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
46,46,RADIATION,RADIATION,True,522520.9204974669,5697064.290406496,,1,0.01,0.1,0.09000000000000001,10.0,7.282202779299164,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
47,47,RADIATION,RADIATION,True,522520.9204974669,5697084.290406496,,1,0.01,0.1,0.09000000000000001,10.0,4.896031386817546,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
48,48,RADIATION,RADIATION,True,522540.9204974669,5697104.290406496,,1,0.01,0.1,0.09000000000000001,10.0,4.121674982113663,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
49,49,RADIATION,RADIATION,True,522520.9204974669,5697104.290406496,,1,0.01,0.1,0.09000000000000001,10.0,3.344769590282122,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
50,50,RADIATION,RADIATION,True,522500.9204974669,5697104.290406496,,1,0.01,0.1,0.09000000000000001,10.0,2.6108713340898833,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
51,51,RADIATION,RADIATION,True,522480.9204974669,5697084.290406496,,1,0.01,0.1,0.09000000000000001,10.0,2.483263837649076,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
52,52,RADIATION,RADIATION,True,522480.9204974669,5697064.290406496,,1,0.01,0.1,0.09000000000000001,10.0,2.9490374375726405,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
53,53,RADIATION,RADIATION,True,522460.9204974669,5697064.290406496,,1,0.01,0.1,0.09000000000000001,10.0,2.0948337607443928,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
54,54,RADIATION,RADIATION,True,522440.9204974669,5697064.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.568772487262669,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
55,55,RADIATION,RADIATION,True,522420.9204974669,5697064.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.223783601270361,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
56,56,RADIATION,RADIATION,True,522400.9204974669,5697084.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9323136092264299,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
57,57,RADIATION,RADIATION,True,522420.9204974669,5697104.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.0421857521108737,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
58,58,RADIATION,RADIATION,True,522440.9204974669,5697104.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.2766836655418274,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
59,59,RADIATION,RADIATION,True,522460.9204974669,5697124.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.3519726844934583,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
60,60,RADIATION,RADIATION,True,522480.9204974669,5697144.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.3383557920622524,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
61,61,RADIATION,RADIATION,True,522500.9204974669,5697144.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.5559767689415642,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
62,62,RADIATION,RADIATION,True,522520.9204974669,5697144.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.7758273776780629,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
63,63,RADIATION,RADIATION,True,522540.9204974669,5697144.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.9620746151863113,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
64,64,RADIATION,RADIATION,True,522560.9204974669,5697124.290406496,,1,0.01,0.1,0.09000000000000001,10.0,2.962012600691292,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
65,65,RADIATION,RADIATION,True,522560.9204974669,5697144.290406496,,1,0.01,0.1,0.09000000000000001,10.0,2.0701940351926824,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
66,66,RADIATION,RADIATION,True,522580.9204974669,5697164.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.543523230622249,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
67,67,RADIATION,RADIATION,True,522560.9204974669,5697164.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.5409470712892557,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
68,68,RADIATION,RADIATION,True,522540.9204974669,5697164.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.4801651620220393,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
69,69,RADIATION,RADIATION,True,522520.9204974669,5697164.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.3737853314324644,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
70,70,RADIATION,RADIATION,True,522520.9204974669,5697184.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.0969907743514873,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
71,71,RADIATION,RADIATION,True,522540.9204974669,5697204.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.942489327954507,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
72,72,RADIATION,RADIATION,True,522560.9204974669,5697204.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9679248244859335,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
73,73,RADIATION,RADIATION,True,522580.9204974669,5697204.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9726642984361746,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
