step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
120,522800.9204974669,5697124.290406496,50.0,1.0,0.7577652233594483,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
121,522780.9204974669,5697104.290406496,50.0,1.0,0.851209292942547,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
122,522760.9204974669,5697104.290406496,50.0,1.0,0.9203409655086043,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
123,522740.9204974669,5697104.290406496,50.0,1.0,1.0209001047553863,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
124,522720.9204974669,5697104.290406496,50.0,1.0,1.1633346067929007,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
125,522700.9204974669,5697084.290406496,50.0,1.0,1.5171938441236883,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
126,522680.9204974669,5697084.290406496,50.0,1.0,1.8895294547442834,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
127,522660.9204974669,5697084.290406496,50.0,1.0,2.4551436968817435,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
128,522640.9204974669,5697064.290406496,50.0,1.0,4.2120300121117085,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
129,522640.9204974669,5697044.290406496,50.0,1.0,4.949012462138781,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
130,522640.9204974669,5697024.290406496,50.0,1.0,5.122795119767172,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
131,522640.9204974669,5697004.290406496,50.0,1.0,4.61638124097897,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
132,522640.9204974669,5696984.290406497,50.0,1.0,3.780993638236737,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
133,522620.9204974669,5696964.290406497,50.0,1.0,3.903144153076667,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
134,522640.9204974669,5696964.290406497,50.0,1.0,2.9837572574366793,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
135,522660.9204974669,5696964.290406497,50.0,1.0,2.3210269383626496,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
136,522680.9204974669,5696984.290406497,50.0,1.0,2.0702551760877643,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
137,522680.9204974669,5697004.290406496,50.0,1.0,2.2378395978397183,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
138,522680.9204974669,5697024.290406496,50.0,1.0,2.315571204262094,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
139,522700.9204974669,5697044.290406496,50.0,1.0,1.7426217188081812,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
140,522720.9204974669,5697024.290406496,50.0,1.0,1.4419960547839752,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
141,522720.9204974669,5697004.290406496,50.0,1.0,1.4323703495963567,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
142,522720.9204974669,5696984.290406497,50.0,1.0,1.3924725017107784,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
143,522700.9204974669,5696964.290406497,50.0,1.0,1.5492181587552614,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
144,522680.9204974669,5696944.290406497,50.0,1.0,1.659422356406965,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
145,522660.9204974669,5696924.290406497,50.0,1.0,1.682021453096053,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
146,522680.9204974669,5696924.290406497,50.0,1.0,1.4825414496152978,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
147,522700.9204974669,5696944.290406497,50.0,1.0,1.4316184365531828,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
148,522720.9204974669,5696944.290406497,50.0,1.0,1.2656605371090797,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
149,522740.9204974669,5696964.290406497,50.0,1.0,1.184530099823079,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
150,522760.9204974669,5696984.290406497,50.0,1.0,1.0982484557331995,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
151,522780.9204974669,5697004.290406496,50.0,1.0,1.0203356501201353,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
152,522760.9204974669,5697024.290406496,50.0,1.0,1.0918684172607038,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
153,522740.9204974669,5697044.290406496,50.0,1.0,1.20498846498176,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
154,522740.9204974669,5697064.290406496,50.0,1.0,1.159118385418323,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
155,522760.9204974669,5697044.290406496,50.0,1.0,1.067616281179205,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
156,522780.9204974669,5697044.290406496,50.0,1.0,0.9800620013729218,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
157,522800.9204974669,5697064.290406496,50.0,1.0,0.894204306775596,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
158,522820.9204974669,5697064.290406496,50.0,1.0,0.8709612907034778,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
159,522840.9204974669,5697064.290406496,50.0,1.0,0.8719378713706047,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
160,522860.9204974669,5697064.290406496,50.0,1.0,0.896399546296561,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
161,522880.9204974669,5697084.290406496,50.0,1.0,0.8767184751855455,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
162,522860.9204974669,5697104.290406496,50.0,1.0,0.7847706749529777,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
163,522880.9204974669,5697104.290406496,50.0,1.0,0.8095402813103656,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
164,522900.9204974669,5697104.290406496,50.0,1.0,0.8496639122034009,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
165,522920.9204974669,5697124.290406496,50.0,1.0,0.8108872677559196,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
166,522920.9204974669,5697104.290406496,50.0,1.0,0.9050601194843273,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
167,522940.9204974669,5697104.290406496,50.0,1.0,0.9750742918010724,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
168,522960.9204974669,5697124.290406496,50.0,1.0,0.9114832475808103,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
