path_distance_m,time_s,cumulative_sar_probability,cumulative_survivors_found,cumulative_uav_excess_distance_integral,cumulative_uav_total_distance_integral,cumulative_uav_excess_dose,cumulative_uav_total_dose,radiation_distance_integral_unit,radiation_dose_unit
44348.0,4434.8,0.8763176334738605,84,41004.49193764816,49874.09193764814,1.1390136649346712,1.3853914427124483,uSv/h*m,uSv
44349.0,4434.9,0.8763578314435986,84,41005.29490028015,49875.09490028013,1.1390359694522263,1.385419302785559,uSv/h*m,uSv
44350.0,4435.0,0.8763964351183727,84,41006.0971880737,49876.09718807368,1.1390582552242694,1.385447144113158,uSv/h*m,uSv
44351.0,4435.1,0.8763964351183727,84,41006.89814142839,49877.09814142838,1.1390805039285665,1.3854749483730107,uSv/h*m,uSv
44352.0,4435.2,0.8763964351183727,84,41007.697031394455,49878.09703139444,1.1391026953165126,1.3855026953165124,uSv/h*m,uSv
44353.0,4435.3,0.8763964351183727,84,41008.49380790122,49879.093807901205,1.1391248279972561,1.3855303835528112,uSv/h*m,uSv
44354.0,4435.4,0.8763964351183727,84,41009.28846347688,49880.088463476866,1.1391469017632465,1.3855580128743574,uSv/h*m,uSv
44355.0,4435.5,0.8763964351183727,84,41010.08099082756,49881.08099082755,1.1391689164118768,1.385585583078543,uSv/h*m,uSv
44356.0,4435.6,0.8763964351183727,84,41010.87138283717,49882.07138283715,1.1391908717454768,1.3856130939676987,uSv/h*m,uSv
44357.0,4435.7,0.8763964351183727,84,41011.65963256713,49883.05963256711,1.139212767571309,1.3856405453490863,uSv/h*m,uSv
44358.0,4435.8,0.8763964351183727,84,41012.445733256136,49884.04573325612,1.1392346037015593,1.3856679370348923,uSv/h*m,uSv
44359.0,4435.9,0.8763964351183727,84,41013.22967831986,49885.02967831985,1.1392563799533295,1.3856952688422182,uSv/h*m,uSv
44360.0,4436.0,0.8763964351183727,84,41014.01146135059,49886.01146135057,1.1392780961486273,1.3857225405930715,uSv/h*m,uSv
44361.0,4436.1,0.8763964351183727,84,41014.79107611681,49886.99107611679,1.1392997521143557,1.3857497521143554,uSv/h*m,uSv
44362.0,4436.2,0.8763964351183727,84,41015.56851656283,49887.96851656282,1.1393213476823008,1.385776903237856,uSv/h*m,uSv
44363.0,4436.3,0.8763964351183727,84,41016.34377680829,49888.94377680828,1.1393428826891192,1.38580399380023,uSv/h*m,uSv
44364.0,4436.4,0.8763964351183727,84,41017.11685114764,49889.91685114763,1.1393643569763234,1.3858310236429898,uSv/h*m,uSv
44365.0,4436.5,0.8763964351183727,84,41017.88773404964,49890.887734049626,1.1393857703902677,1.3858579926124897,uSv/h*m,uSv
44366.0,4436.6,0.8763964351183727,84,41018.65642015673,49891.85642015671,1.1394071227821314,1.3858849005599088,uSv/h*m,uSv
44367.0,4436.7,0.8763964351183727,84,41019.42290428446,49892.82290428444,1.1394284140079016,1.3859117473412343,uSv/h*m,uSv
44368.0,4436.8,0.8763964351183727,84,41020.18718142081,49893.7871814208,1.139449643928356,1.3859385328172444,uSv/h*m,uSv
44369.0,4436.9,0.8763964351183727,84,41020.94924672554,49894.74924672553,1.1394708124090427,1.3859652568534868,uSv/h*m,uSv
44370.0,4437.0,0.8763964351183727,84,41021.70909552943,49895.70909552942,1.139491919320262,1.3859919193202617,uSv/h*m,uSv
44371.0,4437.1,0.8763964351183727,84,41022.46744973506,49896.66744973504,1.1395129847148626,1.3860185402704177,uSv/h*m,uSv
44372.0,4437.2,0.8763964351183727,84,41023.22509664875,49897.625096648735,1.1395340304624653,1.386045141573576,uSv/h*m,uSv
44373.0,4437.3,0.8763964351183727,84,41023.98211854941,49898.58211854939,1.1395550588485948,1.3860717255152608,uSv/h*m,uSv
44374.0,4437.4,0.8763964351183727,84,41024.73855367641,49899.5385536764,1.1395760709354559,1.3860982931576777,uSv/h*m,uSv
44375.0,4437.5,0.8763964351183727,84,41025.49444008227,49900.49444008226,1.139597067780063,1.3861248455578405,uSv/h*m,uSv
44376.0,4437.6,0.8763964351183727,84,41026.249815637806,49901.449815637796,1.1396180504343836,1.3861513837677166,uSv/h*m,uSv
44377.0,4437.7,0.8763964351183727,84,41027.00471803728,49902.404718037265,1.13963901994548,1.3861779088343684,uSv/h*m,uSv
44378.0,4437.8,0.8763964351183727,84,41027.75918480339,49903.359184803376,1.1396599773556497,1.3862044218000937,uSv/h*m,uSv
44379.0,4437.9,0.8763964351183727,84,41028.51325329223,49904.31325329221,1.139680923702562,1.3862309237025614,uSv/h*m,uSv
44380.0,4438.0,0.8763964351183727,84,41029.266960698085,49905.26696069806,1.1397018600193913,1.3862574155749463,uSv/h*m,uSv
44381.0,4438.1,0.8763964351183727,84,41030.02034405823,49906.22034405821,1.139722787334951,1.3862838984460613,uSv/h*m,uSv
44382.0,4438.2,0.8763964351183727,84,41030.77344025759,49907.17344025756,1.1397437066738219,1.3863103733404878,uSv/h*m,uSv
44383.0,4438.3,0.8763964351183727,84,41031.52628603328,49908.12628603325,1.13976461905648,1.3863368412787014,uSv/h*m,uSv
44384.0,4438.4,0.8763964351183727,84,41032.27891797916,49909.078917979125,1.1397855254994211,1.3863633032771978,uSv/h*m,uSv
44385.0,4438.5,0.8763964351183727,84,41033.03137255019,49910.03137255016,1.139806427015283,1.3863897603486157,uSv/h*m,uSv
44386.0,4438.6,0.8763964351183727,84,41033.783686066796,49910.98368606677,1.1398273246129667,1.3864162135018547,uSv/h*m,uSv
44387.0,4438.7,0.8763964351183727,84,41034.535894719076,49911.93589471905,1.1398482192977522,1.3864426637421958,uSv/h*m,uSv
44388.0,4438.8,0.8763964351183727,84,41035.288034570964,49912.88803457093,1.1398691120714157,1.3864691120714148,uSv/h*m,uSv
44389.0,4438.9,0.8763964351183727,84,41036.04014156429,49913.84014156426,1.1398900039323414,1.386495559487896,uSv/h*m,uSv
44390.0,4439.0,0.8763964351183727,84,41036.79225152278,49914.79225152275,1.1399108958756328,1.386522006986743,uSv/h*m,uSv
44391.0,4439.1,0.8763964351183727,84,41037.54360852559,49915.74360852556,1.1399317669034887,1.3865484335701546,uSv/h*m,uSv
44392.0,4439.2,0.8763964351183727,84,41038.29339432513,49916.69339432509,1.1399525942868092,1.3865748165090304,uSv/h*m,uSv
