Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
23,RandomWalk,mountainous,temperate,medium,5,300000,0.04992110222346643,0.0003039687263339778,13.0,3.875747405778614,300.00000000000006
23,Greedy,mountainous,temperate,medium,5,300000,0.12867877365809233,0.004608852799777694,57.99999999999999,9.323765285875453,299.9999999999998
23,Spiral,mountainous,temperate,medium,5,300000,0.13133462303289098,0.0008528856087658896,63.0,19.896533265787888,299.9999999999998
23,Concentric,mountainous,temperate,medium,5,300000,0.13509554955766387,0.0008301637030863186,62.0,19.83051122794895,299.9999999999998
23,Pizza,mountainous,temperate,medium,5,300000,0.1531437953069451,0.0020664781939103254,52.0,19.436370453994538,300.0000000000007
24,RandomWalk,mountainous,temperate,medium,5,300000,0.026870166483921355,0.0015427966224331015,8.0,2.601642732842166,300.0000000000007
24,Greedy,mountainous,temperate,medium,5,300000,0.12910764446882783,0.002121347236698448,47.0,13.992240048317512,299.99999999999864
24,Spiral,mountainous,temperate,medium,5,300000,0.14228104730890237,0.0009538779622867021,62.0,19.896533265787845,299.9999999999986
24,Concentric,mountainous,temperate,medium,5,300000,0.14247813819657867,0.0009788705846979617,59.0,19.830511227949103,299.9999999999998
24,Pizza,mountainous,temperate,medium,5,300000,0.15476613317013904,0.001393365360060615,63.0,19.4363704539946,300.0000000000006
25,RandomWalk,mountainous,temperate,medium,5,300000,0.031223770258806117,0.0007221833870303236,20.0,3.518120431992834,300.0000000000001
25,Greedy,mountainous,temperate,medium,5,300000,0.10762567634821679,0.0020448463820916625,47.0,11.935888565401013,299.9999999999999
25,Spiral,mountainous,temperate,medium,5,300000,0.13558305875367793,0.0008859483002601737,62.0,19.896533265787923,299.99999999999983
25,Concentric,mountainous,temperate,medium,5,300000,0.13560333813031641,0.0009383432920212219,66.0,19.830511227949085,299.99999999999983
25,Pizza,mountainous,temperate,medium,5,300000,0.1475869973530822,0.001424612492132913,62.0,19.436370453994584,300.0000000000006
26,RandomWalk,mountainous,temperate,medium,5,300000,0.07271606751536248,0.002236673779090456,23.0,3.7863600021569295,299.9999999999998
26,Greedy,mountainous,temperate,medium,5,300000,0.16737706581629583,0.006978573779308657,56.00000000000001,8.521147975292843,299.9999999999989
26,Spiral,mountainous,temperate,medium,5,300000,0.2037167918985429,0.0019463659639815186,71.0,19.896533265787923,299.99999999999983
26,Concentric,mountainous,temperate,medium,5,300000,0.20168665109382494,0.002087760367316166,68.0,19.830511227949085,299.99999999999983
26,Pizza,mountainous,temperate,medium,5,300000,0.22059635778831185,0.004199502463898019,68.0,19.436370453994584,300.0000000000006
27,RandomWalk,mountainous,temperate,medium,5,300000,0.013365126101580712,2.0900717478267547e-09,3.0,3.257478180363574,300.00000000000006
27,Greedy,mountainous,temperate,medium,5,300000,0.045417257096875656,1.817709616210222e-05,19.0,4.906140377550698,300.0000000000001
27,Spiral,mountainous,temperate,medium,5,300000,0.09872699231427123,2.59338133429692e-12,62.0,19.896533265787923,299.99999999999983
27,Concentric,mountainous,temperate,medium,5,300000,0.09322466075419714,1.1427166299217948e-12,53.0,19.830511227949085,299.99999999999983
27,Pizza,mountainous,temperate,medium,5,300000,0.07957226664467562,3.5332263985446872e-06,33.0,19.436370453994584,300.0000000000006
28,RandomWalk,mountainous,temperate,medium,5,300000,0.058446460431545603,0.00012225085973437981,20.0,3.552712882159816,300.00000000000017
28,Greedy,mountainous,temperate,medium,5,300000,0.20457317594579008,0.003505909401526073,63.0,4.27911731247835,299.99999999999966
28,Spiral,mountainous,temperate,medium,5,300000,0.24536138494302548,1.1728313461267783e-05,63.0,19.896533265787948,299.9999999999991
