survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
10,522912.7054397887,5697426.781736954,True,True,13065.786297656765,13807.797275900919,742.0109782441541,0.08301646485076936,0.08773100149563534,uSv,-0.004714536644865985,-0.05679038071954582,-5.679038071954582
11,523081.1618049589,5697404.802731642,True,True,13275.857777317175,13600.328262861756,324.4704855445816,0.08677438548872574,0.08889520716854711,uSv,-0.0021208216798213747,-0.02444064187693873,-2.444064187693873
12,523489.02482682996,5696713.114939984,True,True,72822.93706232727,4893.339672585424,-67929.59738974184,2.6094639898661205,0.17534301939602195,uSv,2.4341209704700986,0.9328049668142698,93.28049668142698
13,522826.7882629474,5696489.184836336,True,True,3282.341782352968,3282.341782352968,0.0,0.025482882581810543,0.025482882581810543,uSv,0.0,0.0,0.0
14,522800.679252997,5697300.557610296,True,True,7258.024849236263,12621.746058381055,5363.721209144792,0.04664717622038685,0.08111970196082043,uSv,-0.03447252574043357,-0.7390056276411341,-73.9005627641134
15,522880.77637430094,5697283.50039724,True,True,20582.501140024502,12824.317230904177,-7758.183909120326,0.1351062565851662,0.08418051249169249,uSv,0.05092574409347371,0.3769310569371887,37.69310569371887
16,522780.80445333244,5697234.20960728,True,True,44930.555114993964,12497.226266221842,-32433.328848772122,0.2921484009506281,0.08125972760965275,uSv,0.21088867334097536,0.7218546213320356,72.18546213320356
17,522636.350175414,5696884.154668293,True,True,1135.0552066937487,1135.0552066937487,0.0,0.007587514102712663,0.007587514102712663,uSv,0.0,0.0,0.0
18,523056.24888303294,5696811.009685948,True,True,5291.916900959539,8321.523773841032,3029.6068728814935,0.055910402329042215,0.08791894334202038,uSv,-0.03200854101297817,-0.5724970610048997,-57.24970610048997
19,523029.82824195357,5697208.030157689,True,True,42682.39141836607,41098.45234166398,-1583.9390767020886,0.3003432388708054,0.2891975327221561,uSv,0.011145706148649293,0.03710989530030237,3.7109895300302367
20,523485.219516135,5697257.951144057,True,True,6266.390453388688,10792.563610686446,4526.173157297758,0.045048162912806854,0.07758615863429301,uSv,-0.032537995721486156,-0.7222935102695575,-72.22935102695574
21,523122.4877871183,5696783.395580345,True,True,5365.733253462851,6574.034444305983,1208.3011908431317,0.07075945211955627,0.08669366394499309,uSv,-0.01593421182543682,-0.22518845678050373,-22.518845678050372
22,523036.36603836226,5696400.433328753,True,True,30203.304964353298,19062.575889717373,-11140.729074635925,0.29911182269409786,0.18878204972427307,uSv,0.1103297729698248,0.368857947426101,36.8857947426101
23,522738.7754857994,5696827.706914632,True,True,2457.8334059229464,2457.8334059229464,0.0,0.01746932213239856,0.01746932213239856,uSv,0.0,0.0,0.0
24,522659.9817582529,5697469.835588214,True,True,53999.846857288634,55260.026409448066,1260.1795521594322,0.3302813028769479,0.3379889866680905,uSv,-0.007707683791142617,-0.023336724555716826,-2.3336724555716826
25,522900.9605622476,5697447.671857406,False,False,,,,0.5506646095879107,0.5487814892278217,uSv,0.0018831203600890856,0.0034197228717827294,0.34197228717827294
26,522939.4673595048,5697340.50662362,True,True,7098.799996777768,46016.741249449515,38917.94125267175,0.04634615582069099,0.30043092653342307,uSv,-0.25408477071273206,-5.482326769360606,-548.2326769360606
27,522844.8403948274,5696500.705055729,True,True,3310.591356492553,3310.591356492553,0.0,0.026256858920854165,0.026256858920854165,uSv,0.0,0.0,0.0
28,523122.14934196323,5697540.586222763,True,False,14908.286697655354,,,0.09409401828303873,0.5485452586617403,uSv,-0.45445124037870155,-4.829756967246242,-482.9756967246242
29,522989.6774106841,5696874.660961835,True,True,9371.163982856518,28826.29383807255,19455.12985521603,0.08244729029081324,0.2536130858902544,uSv,-0.17116579559944115,-2.076063324770219,-207.6063324770219
30,522489.4373290968,5696912.130955237,True,True,1953.4700364694065,1953.4700364694065,0.0,0.012413869769933186,0.012413869769933186,uSv,0.0,0.0,0.0
31,522601.4795717817,5697078.555762947,True,True,7975.847195597231,14692.802457763024,6716.955262165793,0.05114975817437796,0.09422613976774039,uSv,-0.043076381593362426,-0.8421619794664119,-84.21619794664119
32,522874.3689974782,5697368.091412326,True,True,57858.5788683604,12726.317638745497,-45132.2612296149,0.3707340266634675,0.08154502020426364,uSv,0.28918900645920387,0.7800444136780413,78.00444136780415
33,522870.88008704357,5697439.722182927,False,True,,13859.25505266957,,0.5495176769396294,0.08732843081498017,uSv,0.46218924612464923,0.8410816712915786,84.10816712915786
34,523155.0777338479,5697229.005100832,True,True,42890.67125199693,40712.09386174552,-2178.577390251412,0.3085574267676969,0.29288464259510216,uSv,0.01567278417259471,0.050793735016445594,5.079373501644559
35,523451.7102221786,5697231.174348168,True,True,6228.2853915533115,10754.45854885107,4526.173157297758,0.045832698374614546,0.07913989547111248,uSv,-0.03330719709649794,-0.7267125497229259,-72.67125497229259
36,522672.2223934527,5697354.030575576,True,True,12754.374981203686,30682.99130906424,17928.616327860553,0.0794021138978682,0.19101636687332954,uSv,-0.11161425297546133,-1.4056836461435565,-140.56836461435563
37,522810.549769158,5697309.161976059,True,True,7243.719874089825,12632.283232126647,5388.563358036822,0.04655003513311591,0.0811783501416602,uSv,-0.03462831500854428,-0.7438944978133762,-74.38944978133763
38,523278.42582740646,5697398.509283556,True,False,15135.316690472477,,,0.10098513828426373,0.579888021867522,uSv,-0.4789028835832583,-4.742310519347821,-474.2310519347821
39,523124.59719817375,5697138.596147232,True,True,8630.979152606767,53035.23170010945,44404.25254750268,0.06582487787251995,0.40447759030284813,uSv,-0.3386527124303282,-5.144752612928223,-514.4752612928222
40,523433.55227908486,5697213.674391468,True,True,15594.352897937642,11098.987883068121,-4495.3650148695215,0.11660488004603042,0.08299133405584666,uSv,0.03361354599018376,0.2882687755170678,28.82687755170678
