step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
59,522520.9204974669,5696724.290406497,50.0,1.0,0.03386950450424883,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
60,522520.9204974669,5696704.290406497,50.0,1.0,0.03405162581758267,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
61,522540.9204974669,5696684.290406497,50.0,1.0,0.03585041566415792,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
62,522540.9204974669,5696664.290406497,50.0,1.0,0.03597152352728461,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
63,522560.9204974669,5696644.290406497,50.0,1.0,0.0378468564109751,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
64,522560.9204974669,5696624.290406497,50.0,1.0,0.03788974990531943,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
65,522540.9204974669,5696604.290406497,50.0,1.0,0.03608801199211922,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
66,522520.9204974669,5696624.290406497,50.0,1.0,0.03441685990196239,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
67,522500.9204974669,5696644.290406497,50.0,1.0,0.032824530177069766,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
68,522480.9204974669,5696664.290406497,50.0,1.0,0.03131015954462257,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
69,522480.9204974669,5696684.290406497,50.0,1.0,0.03121836544748488,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
70,522460.9204974669,5696704.290406497,50.0,1.0,0.02976020361714299,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
71,522460.9204974669,5696724.290406497,50.0,1.0,0.029621000264164865,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
72,522440.9204974669,5696744.290406497,50.0,1.0,0.028228392088282817,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
73,522420.9204974669,5696764.290406497,50.0,1.0,0.026914408193256356,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
74,522440.9204974669,5696784.290406497,50.0,1.0,0.027854261316971662,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
75,522440.9204974669,5696804.290406497,50.0,1.0,0.027634186610222183,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
76,522440.9204974669,5696824.290406497,50.0,1.0,0.027393528194065292,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
77,522440.9204974669,5696844.290406497,50.0,1.0,0.027133445605687395,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
78,522460.9204974669,5696864.290406497,50.0,1.0,0.027963256847115953,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
79,522480.9204974669,5696884.290406497,50.0,1.0,0.028792271241771028,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
80,522480.9204974669,5696904.290406497,50.0,1.0,0.02842729860738427,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
81,522480.9204974669,5696924.290406497,50.0,1.0,0.0280462693896274,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
82,522480.9204974669,5696944.290406497,50.0,1.0,0.02765083156943554,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
83,522480.9204974669,5696964.290406497,50.0,1.0,0.027242619795858375,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
84,522500.9204974669,5696984.290406497,50.0,1.0,0.027878824238272787,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
85,522520.9204974669,5696984.290406497,50.0,1.0,0.028993965058584786,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
86,522540.9204974669,5696984.290406497,50.0,1.0,0.03017287219914394,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
87,522560.9204974669,5696984.290406497,50.0,1.0,0.031420089508532006,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
88,522580.9204974669,5696984.290406497,50.0,1.0,0.032740523812590905,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
89,522600.9204974669,5696964.290406497,50.0,1.0,0.03482173649830961,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
90,522600.9204974669,5696944.290406497,50.0,1.0,0.035491471333942315,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
91,522600.9204974669,5696924.290406497,50.0,1.0,0.03614561712793685,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
92,522620.9204974669,5696904.290406497,50.0,1.0,0.03850837426012907,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
93,522640.9204974669,5696924.290406497,50.0,1.0,0.039590308853125006,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
94,522660.9204974669,5696904.290406497,50.0,1.0,0.042327661269281225,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
95,522680.9204974669,5696904.290406497,50.0,1.0,0.044441224380440986,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
