test_id,seed,planner_seed,intensity_multiplier,independent_final_validation,Y,sigma_m,influence_radius_m,scenario,scenario_id,scenario_type,radiation_quantity,radiation_rate_unit,radiation_dose_unit,radiation_positions_m,background_rate,original_sar_likelihood_score,aware_sar_likelihood_score,delta_sar_likelihood_score,delta_percent_sar_likelihood_score,original_sar_time_discounted_score,aware_sar_time_discounted_score,delta_sar_time_discounted_score,delta_percent_sar_time_discounted_score,original_survivors_found,aware_survivors_found,delta_survivors_found,delta_percent_survivors_found,original_route_distance_m,aware_route_distance_m,delta_route_distance_m,delta_percent_route_distance_m,original_survivor_total_pre_discovery_dose,aware_survivor_total_pre_discovery_dose,delta_survivor_total_pre_discovery_dose,delta_percent_survivor_total_pre_discovery_dose,original_survivor_mean_pre_discovery_dose,aware_survivor_mean_pre_discovery_dose,delta_survivor_mean_pre_discovery_dose,delta_percent_survivor_mean_pre_discovery_dose,original_survivor_p95_pre_discovery_dose,aware_survivor_p95_pre_discovery_dose,delta_survivor_p95_pre_discovery_dose,delta_percent_survivor_p95_pre_discovery_dose,original_survivor_max_pre_discovery_dose,aware_survivor_max_pre_discovery_dose,delta_survivor_max_pre_discovery_dose,delta_percent_survivor_max_pre_discovery_dose,original_uav_cumulative_excess_dose,aware_uav_cumulative_excess_dose,delta_uav_cumulative_excess_dose,delta_percent_uav_cumulative_excess_dose,original_uav_cumulative_total_dose,aware_uav_cumulative_total_dose,delta_uav_cumulative_total_dose,delta_percent_uav_cumulative_total_dose,radiation_episodes,radiation_steps,radiation_priority_decisions
seed_547_intensity_4x,547,42,4,FALSE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523222.52646612603, 5696692.7052318305]]",0,0.9357528759397921,0.9297845722120462,-0.005968304,-0.637807682,0.13976034472876997,0.13936561030252106,-0.000394734,-0.282436643,90,94,4,4.444444444444445,87209.92201030577,87342.47035028192,132.54833997614332,0.15198768319100184,7.7018996247236755,1.4814786957450445,-6.220420929,-80.76476236,0.077018996,0.014814786957450445,-0.062204209,-80.76476236,0.056549587016624256,0.037047727,-0.01950186,-34.48629982,4.756107329198614,0.7286001174972982,-4.027507212,-84.68074694,0.084756189,0.034346357253213604,-0.050409832,-59.4762843,0.084756189,0.034346357253213604,-0.050409832,-59.4762843,26,583,288
seed_653_intensity_0p25x,653,42,0.25,FALSE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522703.34719814576, 5696904.320529977]]",0.2,0.9357528759397921,0.8945873589837091,-0.041165517,-4.399186795,0.13976034472876997,0.11952679574659557,-0.020233549,-14.4773176,97,92,-5,-5.154639175,87209.92201030577,86704.58146417866,-505.3405461,-0.579453042,17.878214904982382,15.414376868300645,-2.463838037,-13.78123068,0.1787821490498238,0.15414376868300644,-0.02463838,-13.78123068,0.564276627,0.5057760815341196,-0.058500545,-10.36735216,1.0943303962318014,0.6602421270073122,-0.434088269,-39.6670211,0.12111281455299369,0.15615466565264566,0.035041851099651966,28.93323157337672,0.6056123812769151,0.637846785,0.032234404,5.322613047178735,1,3600,1160
seed_653_intensity_0p25x,653,42,0.25,FALSE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522705.0569120669, 5696719.74834751], [523055.0569120669, 5697069.74834751], [522565.0569120669, 5697139.74834751]]",0.2,0.9357528759397921,0.8574719470068817,-0.078280929,-8.365555794,0.13976034472876997,0.10342142951581307,-0.036338915,-26.00087692,97,89,-8,-8.24742268,87209.92201030577,86663.16010797395,-546.7619023,-0.626949193,23.48432008,34.55706287024283,11.07274279203083,47.14951403810821,0.234843201,0.34557062870242833,0.11072742792030832,47.14951403810821,0.6806156855684989,0.6696242534699387,-0.010991432,-1.614924888,1.3111578176510734,1.3815156036265597,0.070357786,5.366080652406248,0.5502712703547195,0.6327399201534385,0.08246865,14.986908138154764,1.0347708370786204,1.1142019207533123,0.079431084,7.676200452164156,1,3600,1088
seed_653_intensity_0p25x,653,42,0.25,FALSE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523335.553286206, 5696749.9605819825]]",0,0.9357528759397921,0.942999282,0.007246406,0.7743931295208928,0.13976034472876997,0.1393772112099103,-0.000383134,-0.274136072,97,93,-4,-4.12371134,87209.92201030577,86596.88593800417,-613.0360723,-0.702943035,1.6499097214625917,0.1578993465292548,-1.492010375,-90.42981901,0.016499097,0.001578993,-0.014920104,-90.42981901,0.021039688,0.00409183,-0.016947859,-80.55185181,1.0823074135370647,0.050489239,-1.031818175,-95.33503713,0.005116724,0.004092123,-0.001024601,-20.02455685,0.005116724,0.004092123,-0.001024601,-20.02455685,17,420,223
seed_653_intensity_0p5x,653,42,0.5,FALSE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522703.34719814576, 5696904.320529977]]",0.2,0.9357528759397921,0.8945873589837091,-0.041165517,-4.399186795,0.13976034472876997,0.11952679574659557,-0.020233549,-14.4773176,97,92,-5,-5.154639175,87209.92201030577,86704.58146417866,-505.3405461,-0.579453042,23.048650518882933,17.66417579555964,-5.384474723,-23.36134482,0.23048650518882932,0.1766417579555964,-0.053844747,-23.36134482,0.7341256303120373,0.5325334088420428,-0.201592221,-27.46018027,2.0567353646614572,0.8387921347691875,-1.21794323,-59.21730383,0.24222562910598738,0.3123093313052913,0.070083702,28.93323157337672,0.7267251958299143,0.794001451,0.067276255,9.257454551852812,1,3600,1160
seed_653_intensity_0p5x,653,42,0.5,FALSE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522705.0569120669, 5696719.74834751], [523055.0569120669, 5697069.74834751], [522565.0569120669, 5697139.74834751]]",0.2,0.9357528759397921,0.8574719470068817,-0.078280929,-8.365555794,0.13976034472876997,0.10342142951581307,-0.036338915,-26.00087692,97,89,-8,-8.24742268,87209.92201030577,86663.16010797395,-546.7619023,-0.626949193,34.26086086534218,47.62577107,13.364910203213121,39.00926557491403,0.3426086086534218,0.476257711,0.1336491020321312,39.00926557491403,1.0715701784563447,0.8578356139855354,-0.213734564,-19.94592317,2.1378160685782253,2.281569206653264,0.14375313807503876,6.724298698467691,1.100542540709439,1.265479840306877,0.16493729959743808,14.986908138154764,1.585042107433338,1.7469418409067676,0.16189973347342956,10.214222872324454,1,3600,1088
seed_653_intensity_0p5x,653,42,0.5,FALSE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523335.553286206, 5696749.9605819825]]",0,0.9357528759397921,0.9631270849424193,0.027374209002627214,2.9253673385865735,0.13976034472876997,0.13973183812360773,-2.85E-05,-0.020396777,97,95,-2,-2.06185567,87209.92201030577,87002.81522913257,-207.1067812,-0.237480755,3.2998194429251835,0.3085969239395032,-2.991222519,-90.64806638,0.032998194,0.003085969,-0.029912225,-90.64806638,0.042079377,0.007188079,-0.034891298,-82.91781087,2.1646148270741294,0.10238255097654707,-2.062232276,-95.27017233,0.010233448773843475,0.0052364,-0.004997049,-48.83054472,0.010233448773843475,0.0052364,-0.004997049,-48.83054472,3,368,238
seed_653_intensity_1x,653,42,1,TRUE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522703.34719814576, 5696904.320529977]]",0.2,0.9357528759397921,0.8945873589837091,-0.041165517,-4.399186795,0.13976034472876997,0.11952679574659557,-0.020233549,-14.4773176,97,92,-5,-5.154639175,87209.92201030577,86704.58146417866,-505.3405461,-0.579453042,33.38952174668403,22.16377365007763,-11.2257481,-33.62057169,0.3338952174668403,0.2216377365007763,-0.112257481,-33.62057169,1.105280705265546,0.589936945,-0.515343761,-46.6256,3.9815453015207694,1.195892150292938,-2.785653151,-69.96412047,0.48445125821197477,0.6246186626105826,0.14016740439860786,28.93323157337672,0.9689508249358959,1.106310781856027,0.13735995692013103,14.176153565813676,1,3600,1160
seed_653_intensity_1x,653,42,1,TRUE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522705.0569120669, 5696719.74834751], [523055.0569120669, 5697069.74834751], [522565.0569120669, 5697139.74834751]]",0.2,0.9357528759397921,0.8574719470068817,-0.078280929,-8.365555794,0.13976034472876997,0.10342142951581307,-0.036338915,-26.00087692,97,89,-8,-8.24742268,87209.92201030577,86663.16010797395,-546.7619023,-0.626949193,55.81394243960251,73.76318746518022,17.94924502557771,32.15907037027707,0.5581394243960252,0.7376318746518022,0.1794924502557771,32.15907037027707,1.8702459782192962,1.3853843749237595,-0.484861603,-25.92501783,3.924596350148844,4.081676412706673,0.15708006255782925,4.002451425,2.201085081418878,2.530959680613754,0.32987459919487616,14.986908138154764,2.685584648142762,3.0124216812136866,0.3268370330709245,12.170051437289505,1,3600,1088
seed_653_intensity_1x,653,42,1,TRUE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523335.553286206, 5696749.9605819825]]",0,0.9357528759397921,0.9505156463087154,0.014762770368923372,1.5776355861152849,0.13976034472876997,0.1397318842486437,-2.85E-05,-0.020363774,97,92,-5,-5.154639175,87209.92201030577,87292.76472276237,82.84271245659329,0.094992302,6.599638885850367,0.6135961759311945,-5.98604271,-90.70257954,0.065996389,0.006135962,-0.059860427,-90.70257954,0.084158754,0.014376157472948563,-0.069782596,-82.91781087,4.329229654148259,0.20476510195309414,-4.124464552,-95.27017233,0.020466898,0.043473977346929094,0.023007079799242144,112.41117392431698,0.020466898,0.043473977346929094,0.023007079799242144,112.41117392431698,18,1215,255
seed_653_intensity_2x,653,42,2,FALSE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522703.34719814576, 5696904.320529977]]",0.2,0.9357528759397921,0.8945873589837091,-0.041165517,-4.399186795,0.13976034472876997,0.11952679574659557,-0.020233549,-14.4773176,97,92,-5,-5.154639175,87209.92201030577,86704.58146417866,-505.3405461,-0.579453042,54.07126420228623,31.162969359113603,-22.90829484,-42.36685637,0.5407126420228623,0.311629694,-0.229082948,-42.36685637,2.1849440608915893,0.7831389085158597,-1.401805152,-64.15748474,7.831165175239392,1.9100921813404388,-5.921072994,-75.60909343,0.9689025164239495,1.2492373252211653,0.28033480879721573,28.93323157337672,1.4534020831478665,1.730929444466617,0.27752736131875055,19.095016068620524,1,3600,1160
seed_653_intensity_2x,653,42,2,FALSE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522705.0569120669, 5696719.74834751], [523055.0569120669, 5697069.74834751], [522565.0569120669, 5697139.74834751]]",0.2,0.9357528759397921,0.8574719470068817,-0.078280929,-8.365555794,0.13976034472876997,0.10342142951581307,-0.036338915,-26.00087692,97,89,-8,-8.24742268,87209.92201030577,86663.16010797395,-546.7619023,-0.626949193,98.92010558812319,126.03802025843011,27.117914670306916,27.41395645,0.989201056,1.2603802025843012,0.2711791467030692,27.413956454129405,3.473188659707336,2.418916683669839,-1.054271976,-30.3545842,7.584849133562275,7.681890824813491,0.097041691,1.279414917059002,4.402170162837756,5.061919361227508,0.6597491983897523,14.986908138154764,4.8866697295615555,5.543381361827442,0.6567116322658864,13.438838076024593,1,3600,1088
seed_653_intensity_2x,653,42,2,FALSE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523335.553286206, 5696749.9605819825]]",0,0.9357528759397921,0.9341994817566589,-0.001553394,-0.166004746,0.13976034472876997,0.13947478338353173,-0.000285561,-0.204322153,97,92,-5,-5.154639175,87209.92201030577,86919.97252,-289.9494936,-0.332473057,13.199277771700734,1.214312829620259,-11.98496494,-90.80015702,0.13199277771700735,0.012143128,-0.119849649,-90.80015702,0.16831750733858497,0.028752314945897126,-0.139565192,-82.91781087,8.658459308296518,0.4095302039061883,-8.248929104,-95.27017233,0.040933795,0.026340049219382992,-0.014593746,-35.65207145,0.040933795,0.026340049219382992,-0.014593746,-35.65207145,15,591,280
seed_653_intensity_4x,653,42,4,FALSE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522703.34719814576, 5696904.320529977]]",0.2,0.9357528759397921,0.8945873589837091,-0.041165517,-4.399186795,0.13976034472876997,0.11952679574659557,-0.020233549,-14.4773176,97,92,-5,-5.154639175,87209.92201030577,86704.58146417866,-505.3405461,-0.579453042,95.43474911349062,49.16136077718555,-46.27338834,-48.48693874,0.9543474911349062,0.4916136077718555,-0.462733883,-48.48693874,4.344270772143674,1.3148839634873661,-3.029386809,-69.73291877,15.530404922676638,3.3384922434354403,-12.19191268,-78.50350805,1.937805032847899,2.4984746504423305,0.5606696175944315,28.93323157337672,2.422304599571837,2.9801667696877905,0.5578621701159534,23.030223788311357,1,3600,1160
seed_653_intensity_4x,653,42,4,FALSE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522705.0569120669, 5696719.74834751], [523055.0569120669, 5697069.74834751], [522565.0569120669, 5697139.74834751]]",0.2,0.9357528759397921,0.8574719470068817,-0.078280929,-8.365555794,0.13976034472876997,0.10342142951581307,-0.036338915,-26.00087692,97,89,-8,-8.24742268,87209.92201030577,86663.16010797395,-546.7619023,-0.626949193,185.13243188516455,230.58768584492984,45.45525395976529,24.552831449845936,1.8513243188516455,2.3058768584492983,0.45455253959765285,24.552831449845936,6.679074022683414,4.363823731867519,-2.315250291,-34.66424063,14.90535470038914,14.882319649027126,-0.023035051,-0.154542121,8.804340325675511,10.123838722455016,1.3194983967795046,14.986908138154764,9.288839892399226,10.605300723054784,1.3164608306555579,14.172499966683434,1,3600,1088
seed_653_intensity_4x,653,42,4,FALSE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523335.553286206, 5696749.9605819825]]",0,0.9357528759397921,0.8658107673516856,-0.069942109,-7.474420906,0.13976034472876997,0.13971268142153248,-4.77E-05,-0.034103599,97,89,-8,-8.24742268,87209.92201030577,87251.34336652818,41.42135622240312,0.047496151,26.398555543401468,2.438692251487968,-23.95986329,-90.7620239,0.2639855554340147,0.024386923,-0.239598633,-90.7620239,0.33663501467716994,0.05750463,-0.279130385,-82.91781087,17.316918616593036,0.8190604078123765,-16.49785821,-95.27017233,0.08186759,0.042448324,-0.039419266,-48.15002615,0.08186759,0.042448324,-0.039419266,-48.15002615,17,476,275
seed_761_intensity_0p25x,761,42,0.25,FALSE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522968.59460594965, 5696653.59253652]]",0.2,0.9357528759397921,0.9247451899887185,-0.011007686,-1.176345404,0.13976034472876997,0.1269580118278615,-0.012802333,-9.160204152,97,94,-3,-3.092783505,87209.92201030577,86572.03312,-637.8888861,-0.731440725,17.72303716,16.724575577206956,-0.998461579,-5.633693424,0.17723037155933302,0.16724575577206957,-0.009984616,-5.633693424,0.603373099,0.5006776004254447,-0.102695498,-17.02023149,3.300881940609394,0.5399150339122251,-2.760966907,-83.64330977,0.19364837511136818,0.19925741788868997,0.005609043,2.896509084621035,0.6781479418352848,0.6802131574678002,0.002065216,0.304537624,1,3600,1200
seed_761_intensity_0p25x,761,42,0.25,FALSE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522677.016936664, 5696712.749606486], [523027.016936664, 5697062.749606486], [522537.016936664, 5697132.749606486]]",0.2,0.9357528759397921,0.849845834,-0.085907042,-9.180526585,0.13976034472876997,0.093022734,-0.046737611,-33.44125344,97,85,-12,-12.37113402,87209.92201030577,86572.03312428002,-637.888886,-0.731440725,23.124116282943557,32.678087016433615,9.553970733490058,41.31604692083781,0.23124116282943558,0.32678087016433616,0.095539707,41.31604692083781,0.6519556184313232,0.6139078526939244,-0.038047766,-5.835944144,2.7091685564597223,9.589476200736282,6.880307644276559,253.96380848549282,0.536111084,0.45555505978665545,-0.080556024,-15.02599485,1.0206106502945742,0.9365107993659828,-0.084099851,-8.240150238,1,3600,1100
seed_761_intensity_0p25x,761,42,0.25,FALSE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523123.7248677289, 5696867.280457138]]",0,0.9357528759397921,0.9162324418901888,-0.019520434,-2.086067225,0.13976034472876997,0.10979044328824804,-0.029969901,-21.44378042,97,92,-5,-5.154639175,87209.92201030577,87301.04899398929,91.12698368351266,0.10449153213638238,0.13873504384935162,0.020143334496966914,-0.118591709,-85.48071638,0.00138735,0.000201433,-0.001185917,-85.48071638,0.009954594,0.000563574,-0.00939102,-94.33855461,0.06447089,0.007638246,-0.056832644,-88.15241074,0.006540103,0.006141115,-0.000398988,-6.100643242,0.006540103,0.006141115,-0.000398988,-6.100643242,13,567,235
