survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
20,523485.219516135,5697257.951144057,True,False,6266.390453388688,,,0.06005798221147486,0.8317830840818792,uSv,-0.7717251018704043,-12.849667495538274,-1284.9667495538272
21,523122.4877871183,5696783.395580345,True,True,5365.733253462851,9926.481771572682,4560.748518109831,0.16452840157161494,0.30437371780504097,uSv,-0.13984531623342603,-0.8499767511116005,-84.99767511116006
22,523036.36603836226,5696400.433328753,True,True,30203.304964353298,64225.78154245761,34022.47657810431,0.4078659944114348,0.8673061536339367,uSv,-0.4594401592225019,-1.1264487981781626,-112.64487981781627
23,522738.7754857994,5696827.706914632,True,True,2457.8334059229464,6361.252265698047,3903.418859775101,0.08770540108476299,0.22699511692693433,uSv,-0.13928971584217134,-1.588154368139251,-158.8154368139251
24,522659.9817582529,5697469.835588214,True,True,53999.846857288634,60526.373777804925,6526.526920516291,0.6258000630264012,0.701435480456318,uSv,-0.07563541742991675,-0.12086195240080352,-12.086195240080352
25,522900.9605622476,5697447.671857406,False,True,,60930.97994914017,,1.009631497709597,0.7053995133225107,uSv,0.3042319843870863,0.3013297278039095,30.132972780390947
26,522939.4673595048,5697340.50662362,True,True,7098.799996777768,16748.872699286312,9650.072702508543,0.0999136085023245,0.23573566102599858,uSv,-0.13582205252367407,-1.3593949268733914,-135.93949268733914
27,522844.8403948274,5696500.705055729,True,True,3310.591356492553,12430.403943147618,9119.812586655065,0.10967707060350819,0.41180869038065904,uSv,-0.30213161977715086,-2.7547382339320676,-275.47382339320677
28,523122.14934196323,5697540.586222763,True,False,14908.286697655354,,,0.14143594040416385,0.8233582572308494,uSv,-0.6819223168266856,-4.821421732538711,-482.14217325387114
29,522989.6774106841,5696874.660961835,True,True,9371.163982856518,4756.488421815797,-4614.675561040722,0.6654447774144424,0.33775744239668876,uSv,0.32768733501775366,0.49243355142250717,49.243355142250714
30,522489.4373290968,5696912.130955237,True,True,1953.4700364694065,7144.097707568775,5190.627671099369,0.09170942608969317,0.3353934733874715,uSv,-0.24368404729777832,-2.6571319621982123,-265.7131962198212
31,522601.4795717817,5697078.555762947,True,True,7975.847195597231,983.2490494043157,-6992.598146192915,1.720037130991986,0.21204328925980104,uSv,1.507993841732185,0.8767216791782217,87.67216791782218
32,522874.3689974782,5697368.091412326,True,True,57858.5788683604,16661.45755942765,-41197.12130893275,0.7819421633513519,0.22517483877797134,uSv,0.5567673245733806,0.7120313376978076,71.20313376978075
33,522870.88008704357,5697439.722182927,False,True,,60780.90242753382,,1.0310670595262466,0.7186015638668184,uSv,0.31246549565942816,0.3030506044902641,30.30506044902641
34,523155.0777338479,5697229.005100832,True,True,42890.67125199693,15248.137845122172,-27642.533406874758,0.7323227290982656,0.26034933924906845,uSv,0.4719733898491971,0.6444882441793858,64.44882441793857
35,523451.7102221786,5697231.174348168,True,False,6228.2853915533115,,,0.06350178133599366,0.8848592648393735,uSv,-0.8213574835033799,-12.934400677006261,-1293.440067700626
36,522672.2223934527,5697354.030575576,True,True,12754.374981203686,14684.580096441743,1930.2051152380573,0.19242276247456255,0.2215433897858968,uSv,-0.029120627311334246,-0.15133670745000277,-15.133670745000279
37,522810.549769158,5697309.161976059,True,True,7243.719874089825,15685.31930442787,8441.599430338047,0.11461605212975694,0.24818593296225167,uSv,-0.13356988083249471,-1.1653680121636028,-116.53680121636027
38,523278.42582740646,5697398.509283556,True,False,15135.316690472477,,,0.15537543021674183,0.8909383030840762,uSv,-0.7355628728673343,-4.73410031329443,-473.41003132944303
39,523124.59719817375,5697138.596147232,True,True,8630.979152606767,9394.412015187878,763.4328625811104,0.24551843237996238,0.26723518506052596,uSv,-0.021716752680563584,-0.0884526366108224,-8.84526366108224
40,523433.55227908486,5697213.674391468,True,False,15594.352897937642,,,0.16564943292527767,0.9218906160452898,uSv,-0.7562411831200121,-4.5653110292333015,-456.53110292333014
41,522744.417387037,5696825.7889852645,True,True,2454.8716274295975,6358.709311441388,3903.8376840117908,0.08739444808261898,0.22637268873122268,uSv,-0.1389782406486037,-1.5902410702018464,-159.02410702018463
42,523338.25290866964,5696873.403281674,True,True,4125.780938230423,17942.39223792197,13816.611299691547,0.06732219434245028,0.29277395850491766,uSv,-0.22545176416246737,-3.3488475288796087,-334.8847528879608
43,522656.59437759244,5697008.817315101,True,True,10354.544972394395,3132.12903382725,-7222.415938567145,1.0368974342386332,0.3136493749883057,uSv,0.7232480592503275,0.6975116683371771,69.75116683371772
44,523153.92652129923,5696520.330496059,True,True,29573.131309858152,64448.00950193374,34874.87819207559,0.39984190054487456,0.87136577914552,uSv,-0.4715238786006455,-1.1792758036566156,-117.92758036566156
45,523160.3928243879,5696525.877406251,True,True,28727.294622409394,63990.89344313989,35263.59882073049,0.38785156627620065,0.8639507679214126,uSv,-0.4760992016452119,-1.2275294031071864,-122.75294031071864
46,522482.4912460878,5696865.270520346,True,True,1917.440476184551,7295.716547071818,5378.276070887267,0.06440464333824893,0.24505481549347258,uSv,-0.18065017215522367,-2.804924657473234,-280.4924657473234
47,523179.45895962144,5696525.12006367,True,True,28709.87197280521,63977.93953419883,35268.06756139362,0.3766234593019396,0.8392790092970215,uSv,-0.4626555499950819,-1.2284299837630939,-122.8429983763094
48,522733.72585402406,5697028.284232413,True,True,10265.46448137452,3352.595704733107,-6912.868776641413,0.42564403714309446,0.13901098905561887,uSv,0.2866330480874756,0.6734102279720515,67.34102279720514
49,522980.9209025684,5697301.693496049,True,True,43330.314266137844,15426.663980110077,-27903.65028602777,0.6635855345283519,0.23625286907348028,uSv,0.4273326654548716,0.643975257475438,64.39752574754381
