survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
23,522738.7754857994,5696827.706914632,True,True,2457.8334059229464,2457.8334059229464,0.0,0.0,0.0,uGy,0.0,,
24,522659.9817582529,5697469.835588214,True,False,53999.846857288634,,,0.0,0.0,uGy,0.0,,
25,522900.9605622476,5697447.671857406,False,False,,,,0.0,0.0,uGy,0.0,,
26,522939.4673595048,5697340.50662362,True,True,7098.799996777768,7167.084268025131,68.284271247363,0.0,0.0,uGy,0.0,,
27,522844.8403948274,5696500.705055729,True,True,3310.591356492553,3310.591356492553,0.0,0.0,0.0,uGy,0.0,,
28,523122.14934196323,5697540.586222763,True,True,14908.286697655354,85604.64306249279,70696.35636483744,0.0,0.0,uGy,0.0,,
29,522989.6774106841,5696874.660961835,True,True,9371.163982856518,10073.417950300549,702.2539674440304,0.0056866601264360765,0.006112805655700223,uGy,-0.00042614552926414657,-0.07493775252772474,-7.4937752527724735
30,522489.4373290968,5696912.130955237,True,True,1953.4700364694065,1953.4700364694065,0.0,0.0,0.0,uGy,0.0,,
31,522601.4795717817,5697078.555762947,True,True,7975.847195597231,8044.131466844594,68.284271247363,0.0,0.0,uGy,0.0,,
32,522874.3689974782,5697368.091412326,True,False,57858.5788683604,,,0.0,0.0,uGy,0.0,,
33,522870.88008704357,5697439.722182927,False,False,,,,0.0,0.0,uGy,0.0,,
34,523155.0777338479,5697229.005100832,True,True,42890.67125199693,39670.80530927445,-3219.8659427224775,0.0,0.0,uGy,0.0,,
35,523451.7102221786,5697231.174348168,True,True,6228.2853915533115,6002.011221573515,-226.27416997979617,0.0,0.0,uGy,0.0,,
36,522672.2223934527,5697354.030575576,True,True,12754.374981203686,83128.63773307257,70374.26275186888,0.0,0.0,uGy,0.0,,
37,522810.549769158,5697309.161976059,True,True,7243.719874089825,7312.004145337188,68.284271247363,0.0,0.0,uGy,0.0,,
