survivor_id,x_m,y_m,found,first_discovery_distance_m,first_discovery_fraction_of_mission,exposure_end_distance_m,radiation_quantity,radiation_rate_unit,radiation_dose_unit,ground_truth_excess_rate,ground_truth_total_rate,excess_exposure_distance_integral,total_exposure_distance_integral,distance_integral_unit,first_discovery_time_s,exposure_end_time_s,pre_discovery_excess_dose,pre_discovery_total_dose
22,523036.36603836226,5696400.433328753,True,30203.304964353298,0.3463287693432877,30203.304964353298,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,3020.3304964353297,3020.3304964353297,0.0,0.0
23,522738.7754857994,5696827.706914632,True,2457.8334059229464,0.02818295612777293,2457.8334059229464,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,245.78334059229465,245.78334059229465,0.0,0.0
24,522659.9817582529,5697469.835588214,True,53999.846857288634,0.6191938441466255,53999.846857288634,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,5399.984685728863,5399.984685728863,0.0,0.0
25,522900.9605622476,5697447.671857406,False,,,87209.92201030577,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,,8720.992201030578,0.0,0.0
26,522939.4673595048,5697340.50662362,True,7098.799996777768,0.08139899489806778,7098.799996777768,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,709.8799996777768,709.8799996777768,0.0,0.0
27,522844.8403948274,5696500.705055729,True,3310.591356492553,0.037961177813016896,3310.591356492553,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,331.0591356492553,331.0591356492553,0.0,0.0
28,523122.14934196323,5697540.586222763,True,14908.286697655354,0.17094713943091946,14908.286697655354,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1490.8286697655353,1490.8286697655353,0.0,0.0
29,522989.6774106841,5696874.660961835,True,9371.163982856518,0.1074552501233645,9371.163982856518,collision_air_kerma_rate,uGy/h,uGy,0.02184571360891884,0.02184571360891884,204.71976455169874,204.71976455169874,uGy/h*m,937.1163982856518,937.1163982856518,0.0056866601264360765,0.0056866601264360765
30,522489.4373290968,5696912.130955237,True,1953.4700364694065,0.02239963058605374,1953.4700364694065,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,195.34700364694066,195.34700364694066,0.0,0.0
31,522601.4795717817,5697078.555762947,True,7975.847195597231,0.09145573131752954,7975.847195597231,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,797.5847195597231,797.5847195597231,0.0,0.0
32,522874.3689974782,5697368.091412326,True,57858.5788683604,0.6634403234705695,57858.5788683604,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,5785.85788683604,5785.85788683604,0.0,0.0
33,522870.88008704357,5697439.722182927,False,,,87209.92201030577,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,,8720.992201030578,0.0,0.0
34,523155.0777338479,5697229.005100832,True,42890.67125199693,0.49180953569627606,42890.67125199693,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,4289.067125199693,4289.067125199693,0.0,0.0
35,523451.7102221786,5697231.174348168,True,6228.2853915533115,0.07141716501956397,6228.2853915533115,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,622.8285391553311,622.8285391553311,0.0,0.0
36,522672.2223934527,5697354.030575576,True,12754.374981203686,0.14624912724605435,12754.374981203686,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1275.4374981203687,1275.4374981203687,0.0,0.0
37,522810.549769158,5697309.161976059,True,7243.719874089825,0.08306073101675082,7243.719874089825,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,724.3719874089825,724.3719874089825,0.0,0.0
38,523278.42582740646,5697398.509283556,True,15135.316690472477,0.1735503981838661,15135.316690472477,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1513.5316690472478,1513.5316690472478,0.0,0.0
39,523124.59719817375,5697138.596147232,True,8630.979152606767,0.09896785771218586,8630.979152606767,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,863.0979152606767,863.0979152606767,0.0,0.0
40,523433.55227908486,5697213.674391468,True,15594.352897937642,0.17881397596129975,15594.352897937642,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1559.4352897937642,1559.4352897937642,0.0,0.0
41,522744.417387037,5696825.7889852645,True,2454.8716274295975,0.02814899464236994,2454.8716274295975,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,245.48716274295975,245.48716274295975,0.0,0.0
42,523338.25290866964,5696873.403281674,True,4125.780938230423,0.047308618596664624,4125.780938230423,collision_air_kerma_rate,uGy/h,uGy,0.013784405583388382,0.013784405583388382,56.871437800780804,56.871437800780804,uGy/h*m,412.5780938230423,412.5780938230423,0.0015797621611328002,0.0015797621611328002
43,522656.59437759244,5697008.817315101,True,10354.544972394395,0.1187312720124985,10354.544972394395,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1035.4544972394394,1035.4544972394394,0.0,0.0
44,523153.92652129923,5696520.330496059,True,29573.131309858152,0.33910282945056913,29573.131309858152,collision_air_kerma_rate,uGy/h,uGy,0.0026514414153200254,0.0026514414153200254,78.41142513565525,78.41142513565525,uGy/h*m,2957.3131309858154,2957.3131309858154,0.0021780951426570903,0.0021780951426570903
45,523160.3928243879,5696525.877406251,True,28727.294622409394,0.3294039710185113,28727.294622409394,collision_air_kerma_rate,uGy/h,uGy,0.002902658173662381,0.002902658173662381,83.38551654294399,83.38551654294399,uGy/h*m,2872.7294622409395,2872.7294622409395,0.0023162643484151107,0.0023162643484151107
46,522482.4912460878,5696865.270520346,True,1917.440476184551,0.021986494563748873,1917.440476184551,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,191.7440476184551,191.7440476184551,0.0,0.0
47,523179.45895962144,5696525.12006367,True,28709.87197280521,0.32920419272261825,28709.87197280521,collision_air_kerma_rate,uGy/h,uGy,0.0028172371023759274,0.0028172371023759274,80.8825165262496,80.8825165262496,uGy/h*m,2870.987197280521,2870.987197280521,0.0022467365701736002,0.0022467365701736002
48,522733.72585402406,5697028.284232413,True,10265.46448137452,0.1177098229735996,10265.46448137452,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1026.546448137452,1026.546448137452,0.0,0.0
49,522980.9209025684,5697301.693496049,True,43330.314266137844,0.49685073977038313,43330.314266137844,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,4333.031426613785,4333.031426613785,0.0,0.0
50,522707.49577370915,5697113.546323872,True,8091.521292477319,0.09278211820348982,8091.521292477319,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,809.1521292477319,809.1521292477319,0.0,0.0
51,522979.09765757894,5697571.673698722,True,14742.092232091502,0.16904145643370028,14742.092232091502,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1474.2092232091502,1474.2092232091502,0.0,0.0
52,522842.9933938756,5696802.147391681,True,256.5049803817723,0.0029412362087820765,256.5049803817723,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,25.650498038177233,25.650498038177233,0.0,0.0
53,522898.14365523,5697430.293078377,True,13057.854540149727,0.14972900146163018,13057.854540149727,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1305.7854540149726,1305.7854540149726,0.0,0.0
54,522713.9223017784,5697005.000937431,True,47672.55436294532,0.5466414057486687,47672.55436294532,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,4767.255436294532,4767.255436294532,0.0,0.0
55,522897.7941043027,5696567.492125103,True,3384.0627646555486,0.038803643973625464,3384.0627646555486,collision_air_kerma_rate,uGy/h,uGy,0.0010228294376661508,0.0010228294376661508,3.4613190145995945,3.4613190145995945,uGy/h*m,338.40627646555487,338.40627646555487,9.614775040554429e-05,9.614775040554429e-05
56,522947.64743694675,5697455.998408939,True,13116.24263864628,0.1503985135670263,13116.24263864628,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1311.624263864628,1311.624263864628,0.0,0.0
57,522875.374213182,5696637.524586228,True,4766.114770253334,0.054651061030534034,4766.114770253334,collision_air_kerma_rate,uGy/h,uGy,0.00152841797412089,0.00152841797412089,7.2846154815782524,7.2846154815782524,uGy/h*m,476.61147702533344,476.61147702533344,0.00020235043004384034,0.00020235043004384034
58,523338.98575191404,5696622.716228699,False,,,87209.92201030577,collision_air_kerma_rate,uGy/h,uGy,0.004681699312436926,0.004681699312436926,408.2906319133265,408.2906319133265,uGy/h*m,,8720.992201030578,0.011341406442036846,0.011341406442036846
59,522781.4597655995,5697043.503574454,True,10214.856987012627,0.11712952782833032,10214.856987012627,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1021.4856987012627,1021.4856987012627,0.0,0.0
60,522877.918900796,5697340.05158372,True,7158.266485102148,0.08208087245229094,7158.266485102148,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,715.8266485102148,715.8266485102148,0.0,0.0
61,523018.0174790022,5696394.4724619975,True,30187.069066341064,0.34614259903562117,30187.069066341064,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,3018.7069066341064,3018.7069066341064,0.0,0.0
62,523081.11736861465,5696415.409554907,True,30250.931897092927,0.34687488762480617,30250.931897092927,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,3025.093189709293,3025.093189709293,0.0,0.0
63,522770.0664098702,5696753.747348736,False,,,87209.92201030577,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,,8720.992201030578,0.0,0.0
